date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,crime_date,crime_count
2016-05-22,2016,05,22,66.2,41.2,1018.0,10.0,6.4,11.1,999.9,77.0,53.1,0.0,999.9,0,2016-05-22,750
2016-05-28,2016,05,28,73.0,64.9,1011.1,10.0,12.8,22.0,33.0,81.0,66.0,0.13,999.9,0,2016-05-28,791
2016-05-23,2016,05,23,66.1,43.9,1015.7,10.0,5.7,14.0,999.9,81.0,48.0,0.0,999.9,0,2016-05-23,782
2016-05-29,2016,05,29,71.8,61.1,1014.3,9.8,11.6,19.0,24.1,81.0,63.0,0.13,999.9,0,2016-05-29,798
2016-05-07,2016,05,07,64.6,42.6,1007.9,9.9,12.3,22.9,32.1,82.0,42.1,0.01,999.9,0,2016-05-07,742
2016-05-06,2016,05,06,59.2,41.2,1013.8,10.0,5.2,11.1,18.1,82.0,41.0,0.0,999.9,0,2016-05-06,794
2016-05-27,2016,05,27,74.2,64.9,1010.9,9.5,8.1,17.1,28.0,82.9,62.1,0.0,999.9,0,2016-05-27,801
2016-05-25,2016,05,25,75.9,59.7,1014.2,9.7,8.2,22.9,34.0,86.0,60.1,0.0,999.9,0,2016-05-25,721
2016-05-26,2016,05,26,71.1,64.1,1012.0,8.9,8.2,12.0,19.0,86.0,62.1,0.95,999.9,0,2016-05-26,767
2016-05-24,2016,05,24,71.9,46.9,1013.8,10.0,9.3,17.1,24.1,86.0,48.0,0.0,999.9,0,2016-05-24,803
2016-05-31,2016,05,31,72.6,56.4,1014.7,9.2,7.7,22.9,33.0,87.1,63.0,0.0,999.9,0,2016-05-31,757
2016-05-30,2016,05,30,74.5,57.5,1015.3,10.0,5.6,11.1,999.9,87.1,63.0,0.0,999.9,0,2016-05-30,820
2016-06-08,2016,06,08,60.7,47.3,1014.4,10.0,6.0,9.9,999.9,70.0,51.1,0.0,999.9,0,2016-06-08,744
2016-06-09,2016,06,09,61.0,50.9,1015.8,9.8,6.1,8.9,999.9,72.0,52.0,0.0,999.9,0,2016-06-09,727
2016-06-23,2016,06,23,70.3,65.6,1010.2,7.2,6.7,28.9,35.9,78.1,66.2,1.31,999.9,1,2016-06-23,802
2016-06-05,2016,06,05,68.2,58.3,1004.5,9.9,9.8,18.1,27.0,79.0,61.0,0.43,999.9,0,2016-06-05,778
2016-06-02,2016,06,02,70.1,54.0,1015.2,10.0,5.9,8.9,20.0,79.0,57.0,0.16,999.9,0,2016-06-02,800
2016-06-29,2016,06,29,66.8,50.2,1019.8,9.9,5.2,11.1,999.9,81.0,55.0,0.0,999.9,0,2016-06-29,805
2016-06-30,2016,06,30,69.4,50.6,1016.3,10.0,6.9,21.4,999.9,81.0,55.0,0.0,999.9,0,2016-06-30,847
2016-06-24,2016,06,24,70.9,56.8,1016.6,10.0,7.4,12.0,999.9,82.0,62.1,0.0,999.9,0,2016-06-24,808
2016-06-06,2016,06,06,71.2,54.2,1004.2,10.0,10.3,19.0,28.9,82.0,59.0,0.03,999.9,0,2016-06-06,793
2016-06-07,2016,06,07,63.3,47.9,1008.6,10.0,10.3,14.0,19.0,82.0,55.9,0.0,999.9,0,2016-06-07,754
2016-06-01,2016,06,01,68.1,62.4,1013.5,8.2,5.6,9.9,999.9,82.9,63.0,0.82,999.9,0,2016-06-01,945
2016-06-22,2016,06,22,71.8,58.6,1012.2,10.0,6.2,12.0,15.9,84.0,64.0,0.0,999.9,0,2016-06-22,751
2016-06-03,2016,06,03,70.1,53.3,1016.9,10.0,3.1,8.9,999.9,84.0,55.0,0.0,999.9,0,2016-06-03,822
2016-06-04,2016,06,04,68.8,58.4,1011.7,9.3,6.9,12.0,999.9,84.0,55.0,0.0,999.9,0,2016-06-04,827
2016-06-17,2016,06,17,70.8,54.8,1016.3,10.0,8.1,12.0,15.9,84.9,61.0,0.0,999.9,0,2016-06-17,830
2016-06-13,2016,06,13,67.9,47.8,1017.0,10.0,5.7,15.0,999.9,86.0,54.0,0.0,999.9,0,2016-06-13,795
2016-06-14,2016,06,14,74.1,58.5,1011.1,10.0,6.7,14.0,999.9,87.1,54.0,0.02,999.9,0,2016-06-14,837
2016-06-18,2016,06,18,74.3,51.2,1021.3,10.0,5.2,13.0,14.0,87.1,57.9,0.0,999.9,0,2016-06-18,764
2016-06-25,2016,06,25,76.7,61.4,1017.5,10.0,7.0,12.0,15.0,89.1,62.1,0.0,999.9,0,2016-06-25,813
2016-06-19,2016,06,19,77.7,56.0,1022.2,10.0,5.7,13.0,19.0,89.1,57.9,0.0,999.9,0,2016-06-19,811
2016-06-27,2016,06,27,79.6,60.0,1015.8,10.0,9.1,15.9,26.0,90.0,69.1,0.03,999.9,0,2016-06-27,771
2016-06-10,2016,06,10,73.8,63.2,1013.6,9.5,7.5,17.1,24.1,90.0,53.1,0.31,999.9,1,2016-06-10,765
2016-06-26,2016,06,26,81.3,68.7,1014.7,9.8,9.2,12.0,22.0,90.0,64.9,0.0,999.9,0,2016-06-26,775
2016-06-15,2016,06,15,78.4,68.2,1006.9,10.0,8.8,19.0,28.0,90.0,64.0,0.3,999.9,0,2016-06-15,791
2016-06-28,2016,06,28,68.2,53.5,1019.7,10.0,9.9,15.0,20.0,90.0,63.0,0.0,999.9,0,2016-06-28,767
2016-06-16,2016,06,16,74.4,62.5,1007.8,10.0,10.0,17.1,25.1,90.0,66.0,0.0,999.9,0,2016-06-16,821
